Order ID,Year,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,City Office,Customer Segment,Ship Mode,,,,,
B-25681,2021,1096,658,7,Electronics,Electronic Games,COD,Delhi,Home Office,Delivery Truck,,,,,
B-25682,2021,5729,64,14,Furniture,Chairs,EMI,Agra,Home Office,Regular Air,,,,,150
B-25683,2021,2927,146,8,Furniture,Bookcases,EMI,Hyderabad,Small Business,Regular Air,,,,,
B-25684,2021,2847,712,8,Electronics,Printers,Credit Card,Chennai,Small Business,Regular Air,,,,,
B-25685,2021,2617,1151,4,Electronics,Phones,Credit Card,Mumbai,Small Business,Regular Air,,,,,
B-25686,2021,2244,247,4,Clothing,Trousers,Credit Card,Orissa,Small Business,Regular Air,,,,,
B-25687,2021,275,-275,4,Clothing,Saree,COD,Delhi,Small Business,Regular Air,,,,,
B-25688,2021,387,-213,5,Clothing,Saree,UPI,Agra,Small Business,Regular Air,,,,,
B-25689,2021,50,-44,2,Clothing,Hankerchief,UPI,Hyderabad,Small Business,Regular Air,,,,,
B-25691,2021,231,-190,9,Clothing,Hankerchief,COD,Mumbai,Small Business,Regular Air,,,,,
B-25692,2021,2125,-234,6,Electronics,Printers,EMI,Mumbai,Small Business,Regular Air,,,,,
B-25693,2022,3873,-891,6,Electronics,Phones,Credit Card,Delhi,Small Business,Regular Air,,,,,
B-25694,2021,729,-492,5,Furniture,Bookcases,UPI,Agra,Small Business,Regular Air,,,,,
B-25695,2021,2188,1050,5,Furniture,Bookcases,Credit Card,Hyderabad,Small Business,Regular Air,,,,,
B-25696,2022,6,-3,1,Clothing,Hankerchief,UPI,Chennai,Corporate,Regular Air,,,,,
B-25697,2021,1854,433,5,Furniture,Bookcases,Credit Card,Mumbai,Corporate,Regular Air,,,,,
B-25698,2022,6,1,1,Clothing,Kurti,UPI,Orissa,Corporate,Regular Air,,,,,
B-25699,2021,2093,721,5,Furniture,Chairs,Credit Card,Delhi,Corporate,Regular Air,,,,,
B-25700,2021,7,-1,2,Clothing,Skirt,UPI,Agra,Corporate,Regular Air,,,,,
B-25701,2022,1622,-624,5,Furniture,Tables,Credit Card,Hyderabad,Corporate,Express Air,,,,,
B-25702,2021,1622,95,5,Electronics,Printers,Credit Card,Chennai,Corporate,Regular Air,,,,,
B-25703,2022,373,254,6,Electronics,Printers,UPI,Mumbai,Corporate,Regular Air,,,,,
B-25704,2021,82,-33,4,Clothing,Kurti,COD,Goa,Corporate,Regular Air,,,,,
B-25705,2021,8,2,2,Clothing,Skirt,UPI,Delhi,Consumer,Regular Air,,,,,
B-25706,2021,1954,782,3,Electronics,Phones,Credit Card,Agra,Corporate,Regular Air,,,,,
B-25707,2021,1543,370,8,Electronics,Printers,Credit Card,Hyderabad,Corporate,Delivery Truck,,,,,
B-25708,2022,1506,-266,6,Electronics,Printers,Credit Card,Chennai,Corporate,Regular Air,,,,,
B-25709,2021,1829,-56,6,Furniture,Tables,Credit Card,Mumbai,Consumer,Regular Air,,,,,
B-25710,2022,9,-1,3,Clothing,Skirt,UPI,Orissa,Consumer,Regular Air,,,,,
B-25711,2021,1461,202,5,Furniture,Tables,EMI,Delhi,Corporate,Regular Air,,,,,
B-25712,2021,391,113,8,Clothing,Stole,COD,Agra,Corporate,Regular Air,,,,,
B-25713,2022,1824,1303,8,Electronics,Phones,Credit Card,Goa,Small Business,Regular Air,,,,,
B-25714,2021,16,-15,4,Clothing,Hankerchief,UPI,Goa,Small Business,Express Air,,,,,
B-25715,2022,1745,122,2,Furniture,Tables,Credit Card,Goa,Corporate,Regular Air,,,,,
B-25716,2021,663,-212,5,Electronics,Printers,UPI,Hyderabad,Corporate,Delivery Truck,,,,,
B-25717,2021,10,-1,1,Clothing,Leggings,UPI,Chennai,Corporate,Delivery Truck,,,,,
B-25718,2022,1630,802,5,Furniture,Tables,EMI,Mumbai,Corporate,Regular Air,,,,,
B-25719,2021,12,0,2,Clothing,Hankerchief,UPI,Orissa,Corporate,Delivery Truck,,,,,
B-25720,2021,12,-7,2,Clothing,Leggings,UPI,Delhi,Corporate,Delivery Truck,,,,,
B-25721,2021,1709,564,3,Clothing,Trousers,Credit Card,Agra,Corporate,Delivery Truck,,,,,
B-25722,2022,12,3,1,Clothing,Stole,UPI,Goa,Consumer,Regular Air,,,,,
B-25723,2021,1625,-77,3,Electronics,Phones,EMI,Goa,Corporate,Regular Air,,,,,
B-25724,2022,13,5,2,Clothing,Hankerchief,UPI,Goa,Corporate,Regular Air,,,,,
B-25725,2022,1361,980,3,Furniture,Tables,COD,Delhi,Corporate,Regular Air,,,,,
B-25726,2022,1622,-448,3,Electronics,Phones,EMI,Agra,Corporate,Delivery Truck,,,,,
B-25727,2022,1547,340,6,Electronics,Accessories,EMI,Goa,Home Office,Regular Air,,,,,
B-25728,2022,1657,460,4,Furniture,Chairs,Credit Card,Srinagar,Home Office,Regular Air,,,,,
B-25729,2022,1603,0,9,Clothing,Saree,Credit Card,Goa,Corporate,Regular Air,,,,,
B-25730,2023,1549,-439,4,Electronics,Phones,Credit Card,Hyderabad,Home Office,Regular Air,,,,,
B-25731,2022,1183,106,4,Electronics,Printers,EMI,Chennai,Home Office,Regular Air,,,,,
B-25732,2022,74,-123,8,Clothing,Skirt,UPI,Mumbai,Corporate,Express Air,,,,,
B-25733,2023,1499,239,13,Clothing,Saree,Credit Card,Orissa,Home Office,Delivery Truck,,,,,
B-25734,2022,1120,199,6,Clothing,Saree,EMI,Delhi,Home Office,Regular Air,,,,,
B-25735,2022,15,-2,1,Clothing,T-shirt,Debit Card,Agra,Home Office,Delivery Truck,,,,,
B-25736,2023,1487,624,3,Clothing,Trousers,Credit Card,Goa,Home Office,Regular Air,,,,,
B-25737,2022,1118,206,2,Furniture,Tables,Credit Card,Goa,Consumer,Regular Air,,,,,
B-25738,2022,11,-5,2,Clothing,Hankerchief,COD,Goa,Consumer,Delivery Truck,,,,,
B-25739,2023,15,4,1,Clothing,Hankerchief,Debit Card,Delhi,Consumer,Regular Air,,,,,
B-25740,2022,1364,1864,5,Furniture,Tables,Credit Card,Agra,Consumer,Regular Air,,,,,
B-25741,2022,1337,147,7,Electronics,Printers,Credit Card,Srinagar,Consumer,Delivery Truck,,,,,
B-25742,2023,15,2,1,Clothing,Leggings,Debit Card,Srinagar,Consumer,Regular Air,,,,,
B-25743,2022,322,-193,5,Electronics,Printers,UPI,Goa,Home Office,Regular Air,,,,,
B-25744,2022,1316,527,7,Electronics,Electronic Games,Credit Card,Hyderabad,Home Office,Regular Air,,,,,
B-25745,2023,1314,342,3,Furniture,Bookcases,Credit Card,Chennai,Home Office,Express Air,,,,,
B-25746,2022,17,7,3,Clothing,Hankerchief,Debit Card,Mumbai,Home Office,Regular Air,,,,,
B-25747,2022,17,2,2,Clothing,Skirt,Debit Card,Orissa,Home Office,Regular Air,,,,,
B-25748,2023,17,-12,5,Clothing,Skirt,Debit Card,Delhi,Home Office,Regular Air,,,,,
B-25749,2023,1308,536,3,Furniture,Bookcases,Credit Card,Agra,Home Office,Express Air,,,,,
B-25750,2022,1076,-38,4,Electronics,Printers,Credit Card,Goa,Home Office,Regular Air,,,,,
B-25751,2022,1301,573,5,Electronics,Accessories,Credit Card,Goa,Corporate,Regular Air,,,,,
B-25752,2023,1300,-16,8,Electronics,Printers,Credit Card,Goa,Corporate,Express Air,,,,,
B-25753,2022,11,-2,4,Clothing,Hankerchief,COD,Delhi,Home Office,Regular Air,,,,,
B-25754,2022,1298,65,9,Electronics,Printers,EMI,Agra,Small Business,Regular Air,,,,,
B-25755,2023,304,97,6,Clothing,Stole,UPI,Srinagar,Small Business,Regular Air,,,,,
B-25756,2022,1055,264,4,Electronics,Printers,EMI,Delhi,Small Business,Regular Air,,,,,
